mass_npea,size_npear,malign_ratio,damage_size,exposed_area,std_dev_malign,err_malign,malign_penalty,damage_ratio,tumor_size
7239.39,2107.87,0.29116,75.8913,987175.4424,114.99799999999999,3070.11,80,39.4591,0.701
10407.0,2554.78,0.24548000000000003,98.1753,1438440.3539,126.09899999999999,4555.51,57,31.8817,8.781
9063.17,3153.9,0.34799,70.0488,1250262.9685,121.13799999999999,4065.02,54,36.4082,15.424000000000001
8179.4,2377.25,0.29063,88.7948,1123891.9364,111.321,4011.43,42,35.4349,2.042
8678.15,2173.17,0.25040999999999997,90.8517,1221102.112,111.09700000000001,3974.47,102,33.2897,4.495
5914.92,1775.23,0.30012,68.6229,812495.0052,86.9694,3013.42,42,40.0965,1.63
11279.7,4100.33,0.36351,87.6859,1525076.1430000002,176.94400000000002,4687.25,93,31.1364,17.426
12116.7,3842.98,0.31716,156.68200000000002,1670988.9058,231.58700000000002,5156.58,122,29.1395,6.013
10972.8,3930.01,0.35815,121.557,1539331.3318,177.72099999999998,4180.65,51,30.7948,2.177
6475.22,1732.13,0.2675,41.3433,894975.5643,102.4,3737.26,26,38.1665,15.882
7926.35,2855.66,0.36027,84.8904,1053556.165,127.617,3212.3,47,37.4768,1.499
8811.49,2320.81,0.26338,86.2664,1253603.5071,119.51299999999999,3977.9,2,33.9912,1.756
5157.24,1502.02,0.29124,43.4188,717216.9247,62.7612,2023.82,18,43.4557,1.67
13652.3,4265.02,0.3124,158.226,1889470.0043,230.641,4897.02,99,28.0479,17.694000000000003
7326.45,2482.54,0.33884000000000003,60.61600000000001,1015947.3999,93.5577,3394.77,28,37.9674,3.824
12233.8,2564.55,0.20961999999999997,151.895,1668126.8308,200.114,4906.34,138,29.8088,0.682
11123.0,2873.65,0.25835,126.93700000000001,1528620.9404,142.273,3682.51,28,34.5009,2.246
7304.09,1924.49,0.26348,71.4054,996581.1882,95.6124,3490.81,57,35.907,7.895
15128.5,4566.02,0.30180999999999997,189.47,2047836.3069,199.765,5498.23,88,28.0911,6.01
11794.4,3290.06,0.27895,140.697,1647422.5424,168.28799999999998,4715.97,168,28.5439,0.89
6002.51,2059.6,0.34312,60.148999999999994,787340.1778,100.221,2712.01,5,40.2786,14.429
7153.13,1712.57,0.23940999999999998,63.118,993271.0784,100.963,3162.44,61,39.1586,14.442
8939.69,3184.66,0.35623,76.0695,1244065.4683,139.977,4011.53,10,32.7489,18.212
6844.59,2295.75,0.33541,70.9603,943280.3846,90.2443,3715.35,36,36.4811,1.825
8600.63,3022.18,0.35139000000000004,101.904,1199264.3167,128.667,3296.21,41,36.5472,11.886
10106.3,4493.51,0.44461999999999996,76.0744,1370399.7042,168.30200000000002,3521.15,25,36.1037,17.352999999999998
8713.09,2540.82,0.2916,98.1442,1197292.0025,146.267,3320.25,9,36.3144,1.389
4317.07,854.6,0.19795,40.2203,568657.2871,61.0276,2591.28,11,43.3766,2.217
8264.21,2828.19,0.34221999999999997,94.6972,1172818.2954,107.213,3528.24,40,36.8657,12.264000000000001
14851.9,3486.0,0.23471,212.80900000000003,2053400.6052,244.054,5101.51,148,25.3752,4.019
7969.49,2065.17,0.25913,74.4118,1113411.5054,96.7717,3341.83,47,37.7659,13.763
7582.92,2465.7,0.32516,61.0791,957441.6808,106.288,3197.22,47,39.4562,11.065999999999999
6574.86,1876.75,0.28544,63.9989,891750.3145,92.9272,3319.31,63,38.9576,8.49
6557.7,1753.51,0.26739,69.8978,922687.8909,91.7585,3058.99,41,38.052,10.823
7472.55,2159.6,0.289,75.1159,1033109.7554,90.7223,3659.75,28,36.0344,2.2430000000000003
11954.7,4121.92,0.34479,135.658,1649277.1888,175.138,5014.86,63,28.8394,6.449
5327.42,1562.44,0.29328000000000004,45.7765,738872.8686,66.8525,2024.59,19,43.1706,1.871
6147.86,1484.81,0.24151,70.3562,870371.0631,73.7482,2837.85,72,39.3322,7.85
13071.2,3760.96,0.28772,163.793,1795923.1026,212.43,4762.48,132,28.3224,4.86
16836.7,5110.77,0.30354000000000003,238.31400000000002,2340965.0179,294.767,4797.0,164,27.1881,6.45
8967.49,3702.0,0.41281999999999996,76.2737,1249691.1747,138.05,3484.53,58,36.9176,13.91
9445.21,3242.73,0.34331999999999996,102.811,1329507.3037,153.57399999999998,4037.75,72,34.1247,17.358
7221.03,1717.82,0.23789000000000002,81.7402,1000348.4008,102.89,3841.76,22,35.9714,1.3230000000000002
14201.7,5019.13,0.35341,176.19099999999997,1978045.0028,207.53099999999998,4919.91,110,27.8001,3.04
21206.0,7246.53,0.34171999999999997,224.13299999999998,2910333.3405,336.06199999999995,5318.8,141,24.6343,14.442
7694.91,1718.52,0.22333000000000003,67.7695,1034761.7708,89.5007,3512.08,30,36.6438,13.069
13561.6,3855.99,0.28433,162.262,1897666.4558,232.47799999999998,4423.79,78,30.0728,1.595
14293.5,4041.28,0.28273000000000004,161.803,2032394.8366,249.18099999999998,5108.58,91,25.6214,4.919
9006.71,2287.6,0.25398000000000004,99.8184,1248556.2771,130.649,3532.09,11,36.5898,1.32
16124.5,3981.11,0.24689,228.39700000000002,2267632.5664,257.988,5566.98,101,22.1022,2.717
6849.23,1854.16,0.27071,70.1307,940941.3327,84.8655,2934.96,22,39.1215,4.093999999999999
6903.07,2524.52,0.3657,64.7621,988881.9140000001,91.6068,3602.81,67,37.0488,13.113
12311.8,3673.26,0.29835,110.56200000000001,1702364.2629,149.07399999999998,4802.58,89,30.9668,16.453
4366.25,746.98,0.17107999999999998,46.1248,550255.8179,55.9318,1945.93,25,43.5877,6.742999999999999
6518.72,1528.74,0.23451,65.4739,908313.9782,86.2448,3348.97,28,37.8532,5.199
23370.4,7009.24,0.29991,302.995,3253168.3742,375.782,6288.69,104,17.8998,3.1260000000000003
21468.5,7069.47,0.32929,245.68,2984987.6513,339.707,5602.67,96,23.0561,3.833
9036.74,2786.13,0.30831,92.2406,1245253.4852,101.689,3810.94,29,36.314,11.775
8386.29,2029.94,0.24205,80.4292,1166084.2761,109.62200000000001,4065.18,39,34.933,9.971
15182.4,4794.4,0.31578,164.084,2109154.4121,230.861,5337.03,182,26.4739,1.4580000000000002
4936.12,1305.33,0.26444,54.5627,649788.4259,77.7755,3181.54,23,38.6152,2.892
9851.81,2690.08,0.27305,111.399,1381311.4047,142.91899999999998,4289.23,75,33.5083,3.05
18490.8,5486.06,0.29669,252.706,2512851.878,313.078,5704.67,326,20.9738,2.574
5011.16,1205.04,0.24047,49.8648,646250.8611,57.0972,2082.19,18,42.7831,3.627
16872.6,5345.4,0.3168,177.15200000000002,2264389.4775,272.772,5436.4,143,24.6077,13.732999999999999
6831.38,2028.21,0.29689,61.4277,920966.0813,94.9999,3321.08,59,38.4546,15.056
12284.5,3169.07,0.25797,155.959,1703823.7119,199.168,4194.91,69,31.7219,1.955
6521.96,1706.06,0.26158000000000003,69.6504,860826.1316,95.0981,3437.69,77,37.9354,1.4780000000000002
8679.99,2245.36,0.25868,82.7754,1225963.7533,109.186,4014.85,41,34.8825,2.405
21475.6,6801.02,0.31668,244.62599999999998,3003361.038,334.656,5539.45,70,23.171999999999997,3.5810000000000004
5784.03,1829.82,0.31635,57.9836,826579.3783,78.6622,2579.09,67,41.3245,1.899
30970.4,10658.9,0.34415999999999997,273.558,4256876.1162,387.042,6701.17,205,19.5778,19.347
7593.43,2519.3,0.33177,64.6824,1095221.7877,96.4547,3011.21,75,38.6377,16.567999999999998
12851.1,4457.27,0.34683,163.472,1869189.3256,269.073,4723.91,87,25.7712,3.2460000000000004
7200.27,1699.9,0.23608,65.361,1027663.0958,97.6585,3439.46,16,32.751999999999995,11.998
10673.6,2950.67,0.27644,105.44200000000001,1490548.3943,163.341,4353.87,55,32.9378,3.9139999999999997
6448.58,2268.02,0.3517,60.443000000000005,904327.4677,80.7277,2747.1,48,40.2075,2.6
8993.44,3126.25,0.34761,90.1403,1271111.7820000001,137.882,3240.17,19,36.9694,0.0
6227.83,1459.73,0.23438,53.9644,820928.6521,72.4476,3246.72,45,39.8668,5.922000000000001
11697.8,4836.3,0.41343,94.4883,1643583.1345,180.042,5400.86,102,36.5896,20.127
11506.1,2996.34,0.26041,151.325,1633778.6025,160.95600000000002,4709.07,33,29.1294,2.497
6733.95,1950.37,0.28963,62.6636,901272.3415,96.7538,3585.67,69,38.0286,8.085
9116.8,3773.93,0.41395,67.1493,1273922.5,151.819,3734.66,17,35.4356,13.845
19280.7,4954.66,0.25697,236.084,2712239.6163,284.371,5709.89,89,22.8924,1.5290000000000001
10710.2,4604.11,0.42988000000000004,96.3604,1499626.2259,149.947,3956.08,51,37.3836,15.872
10880.3,3714.52,0.34139,97.8716,1516140.9542,142.708,4934.9,51,31.1692,17.688
11904.0,3159.63,0.26542,146.12,1699204.1576,173.975,4729.37,23,28.8602,1.777
6523.39,1274.4,0.19535,56.0498,861457.8116,71.5236,3079.56,56,38.0991,5.074
4881.07,979.73,0.20072,40.4337,669728.8098,69.2442,2603.96,20,39.9133,13.808
10977.8,2886.42,0.26293,154.585,1539773.2385,196.33599999999998,4604.85,112,29.8384,2.56
12650.9,4046.93,0.31989,153.392,1790008.4166,156.958,5127.1,32,27.8986,4.195
8383.67,2646.68,0.31569,91.1684,1127697.6562,136.085,3981.74,40,35.521,5.055
16019.9,4862.0,0.30349,151.61700000000002,2198934.7471,235.83900000000003,7768.97,64,29.1923,4.833
9822.14,3313.93,0.33739,116.53,1352292.3556,171.305,3746.02,29,33.2886,2.391
6185.42,1394.4,0.22543000000000002,66.8706,821546.8874,79.9238,3231.48,20,39.3863,0.0
5994.59,1652.65,0.27569,61.8569,866940.7865,83.8956,3368.27,52,40.209,12.685
5960.68,1981.53,0.33243,72.2152,827025.2265,88.35600000000001,3035.06,35,40.2315,1.6130000000000002
5691.77,1280.5,0.22496999999999998,52.0365,800884.4318,65.6675,3169.64,55,39.5279,2.333
3473.8,1184.87,0.34108,27.3092,475298.585,40.9381,1439.24,2,45.9023,0.0
9015.92,2548.22,0.28263,81.7666,1275822.4566,123.20299999999999,4579.17,48,35.1628,1.704
12723.0,4343.66,0.3414,170.02,1781567.2897,213.577,4855.3,90,28.254,3.639
15039.6,3892.28,0.2588,199.91099999999997,2068699.1762,260.024,5056.0,168,25.1132,2.997
16340.3,4525.34,0.27694,215.618,2258074.5348,269.289,5127.01,161,25.2706,3.13
7943.35,2397.64,0.30184,77.7906,1084675.5924,115.03,3604.84,92,35.0952,13.638
8866.96,2427.54,0.27376999999999996,69.5538,1239172.1142,125.885,3257.8,58,37.711,18.657
8311.96,3429.11,0.41255,80.4857,1179505.0264,126.41,3310.95,43,38.0609,2.694
9383.65,2683.43,0.28596,96.4109,1312673.2234,129.711,3983.62,22,34.494,3.614
8771.11,2773.13,0.31616,92.3868,1184407.8508,120.515,4256.29,119,33.3719,2.949
8361.25,2201.86,0.26334,92.1923,1185049.8874,102.445,4002.12,20,35.4529,1.584
10150.4,3877.37,0.38199,95.6204,1411413.4109,168.903,4785.07,95,32.2514,19.087
13475.4,4814.93,0.35731,168.55,1877843.5474,227.605,4644.75,99,29.7563,7.19
9755.12,2583.49,0.26483,100.26100000000001,1308135.3109,136.811,3771.42,17,35.7199,1.755
6696.13,1609.39,0.24034,67.8227,957087.7161,67.1823,3350.57,39,33.0055,11.168
9646.72,2658.85,0.27562,122.241,1327254.9141,134.58700000000002,4137.89,125,32.8847,2.154
7739.09,2438.99,0.31515,91.1,1090897.7991,100.929,3753.65,27,34.4889,9.943
5484.29,1608.16,0.29323,54.4015,787222.293,72.738,2459.98,61,41.8502,4.506
13992.7,5255.89,0.37561,139.313,1985823.1908,200.512,4757.5,54,29.325,5.504
6313.57,1992.46,0.31558,47.2852,895108.392,73.9248,2515.19,16,40.6855,11.154000000000002
8212.5,2951.7,0.35941,78.0316,1134268.9884,128.279,3753.86,24,35.8318,7.662000000000001
11836.5,3500.74,0.29575,107.068,1629727.9153,167.52599999999998,4643.96,19,31.6217,3.655
9670.28,2895.29,0.2994,90.6343,1362431.291,127.02,4149.45,96,33.0843,6.087000000000001
14748.9,5292.19,0.35881,176.08,2028536.7291,286.541,4418.77,81,29.7712,11.892999999999999
9574.44,3740.07,0.39063000000000003,130.69799999999998,1251467.1452,192.33599999999998,4412.51,172,31.1047,2.7439999999999998
8172.12,2460.07,0.30103,69.083,1082394.8658,106.875,3695.52,23,36.4116,5.065
6070.78,1997.19,0.32898,60.0527,843541.8055,100.086,3116.27,20,39.5816,15.797
9839.23,3781.95,0.38437,87.5343,1360365.7717,138.184,5605.52,28,34.652,18.527
8113.14,1970.07,0.24281999999999998,70.5091,1115023.5349,90.809,3739.46,82,36.9325,14.376
10345.4,2475.18,0.23925,97.9753,1427861.6267,147.46200000000002,3768.94,38,33.0738,8.34
8067.92,2127.67,0.26371,77.0262,1077309.5772,124.287,3351.86,58,39.29,14.071
9855.78,3636.35,0.36895,83.8646,1406790.9439,140.244,3968.06,43,38.1066,5.7410000000000005
23633.6,7753.51,0.32807,183.56799999999998,3342185.3869,350.065,11910.3,215,23.9799,8.401
6988.39,1862.25,0.26647,41.4491,955848.4908,109.735,3544.68,27,38.7507,14.402999999999999
7127.56,1706.66,0.23944000000000001,61.9446,960021.1287,85.3673,3574.68,15,34.4737,9.121
6183.13,870.03,0.14071,45.4456,875711.3788,72.6409,2719.72,1,42.1405,0.77
14226.5,4037.21,0.28378000000000003,197.56799999999998,1947614.8072,202.768,4639.13,182,29.0838,2.449
23220.5,10282.1,0.4428,185.375,3211791.4063,343.43300000000005,5945.53,128,24.9652,20.948
8900.78,2305.37,0.259,86.2221,1247838.1559,116.42399999999999,4728.37,26,32.9634,1.703
15160.7,4851.86,0.32001999999999997,159.373,2109115.5943,232.21900000000002,5340.81,184,26.5125,1.6769999999999998
4910.44,952.84,0.19404000000000002,40.6678,679027.1419,55.7219,2541.87,47,42.691,13.702
5013.18,1129.5,0.2253,44.0381,684263.0729,70.1537,2735.87,14,43.0308,2.313
10960.0,3424.51,0.31245,127.757,1528114.0916,169.33900000000003,4179.68,43,30.9625,2.238
3983.96,1113.75,0.27955,33.7599,563262.6284,44.2799,1254.14,42,43.8916,18.340999999999998
16263.1,3984.43,0.24499,177.66,2290201.0389,244.571,5071.24,98,25.9692,4.688
6769.17,1662.21,0.24555,63.248000000000005,962752.6251,70.5688,3377.79,47,36.0639,12.819
17165.1,5906.99,0.34412,163.183,2483990.3666,250.032,8228.3,153,23.0193,9.785
8426.32,2598.91,0.30841999999999997,96.8621,1102634.1303,137.444,3730.33,92,36.2785,17.599
14321.3,6118.53,0.42723,100.041,1993266.8544,219.301,9775.23,61,36.1999,12.793
14061.2,5017.16,0.3568,171.733,1982407.4768,247.389,5302.06,81,22.8978,15.161
10030.6,4010.2,0.39979000000000003,107.40799999999999,1422164.0469,154.018,4267.6,98,32.5484,7.577999999999999
16603.8,5272.95,0.31756999999999996,201.278,2198568.1528,235.484,5442.55,115,24.0926,9.977
9782.1,2803.22,0.28656,92.6907,1350746.4638,120.432,4797.51,107,30.7838,13.234000000000002
8936.59,2286.56,0.25586,86.5769,1267335.7898,112.145,4671.77,27,33.1877,1.858
15727.2,5574.58,0.35445,163.041,2145354.7297,223.825,5687.98,187,26.9122,6.6160000000000005
5397.83,2109.37,0.39078,16.7026,731544.3512,76.8433,2635.92,41,42.2307,11.364
5907.35,1962.88,0.33226999999999995,57.5173,819407.1701,84.2077,2712.59,41,40.1289,1.53
13721.7,4249.26,0.30967,144.905,1923606.3262,161.89,4786.32,124,32.9103,18.188
7920.04,2870.11,0.36238000000000004,72.3784,1117725.6915,106.79,3601.4,39,36.8782,17.922
6492.38,1474.58,0.22712,54.0259,845963.2048,78.851,2840.44,30,39.0469,18.551
7796.19,2115.41,0.27133,64.9316,1067345.501,89.3014,3123.44,44,38.3058,16.44
7850.18,3349.31,0.42665,64.6244,1089805.2534,107.281,2530.62,72,39.6912,11.549000000000001
10759.7,2954.59,0.27459,121.839,1515925.1552,169.81,4217.69,56,32.556999999999995,1.4069999999999998
6007.96,1440.08,0.23969000000000001,32.1475,858212.48,76.7767,2448.92,56,42.8518,10.677999999999999
13715.4,4547.53,0.33155999999999997,157.395,1893727.8795,197.78,5007.9,75,27.3705,4.65
20463.9,6526.83,0.31894,254.452,2850404.5817,328.309,5501.68,71,23.1658,3.637
14085.2,5066.8,0.35972,154.268,1955081.0394,239.475,4770.56,110,28.8633,7.063
15967.2,5302.49,0.33208000000000004,171.37099999999998,2272880.131,277.291,4948.76,237,27.439,19.852999999999998
10432.0,3153.53,0.30229,99.5746,1432624.155,131.752,5281.51,60,29.3567,12.029000000000002
9337.81,2051.58,0.2197,98.9233,1266589.2856,141.313,4044.58,40,33.9895,2.064
10894.5,2740.19,0.25151999999999997,128.415,1486137.0787,159.826,3768.0,23,34.0081,3.292
22484.1,7567.59,0.33657,194.62099999999998,3152691.1117,296.207,6227.08,95,46.5464,1.486
14233.9,4556.81,0.32013,176.24400000000003,1985376.7372,199.622,4955.48,104,27.6432,3.405
9724.1,3328.4,0.34228000000000003,97.1653,1346714.5907,122.993,3693.25,55,31.4006,17.805999999999997
9880.24,3524.21,0.35669,61.0974,1336071.7292,152.02700000000002,4139.22,59,34.4421,14.501
10161.5,2927.02,0.28804,131.366,1388921.8845,143.901,4865.39,63,29.4538,3.612
16774.2,3652.25,0.21773,196.021,2355663.7584,259.185,5551.2,90,23.6952,2.235
7858.42,2010.3,0.25581,84.0451,1114697.9954,108.745,3850.78,43,33.3802,1.9609999999999999
8580.5,2481.77,0.28923000000000004,93.7494,1175339.9687,120.01299999999999,3798.48,45,36.024,2.29
16085.7,5795.09,0.36025999999999997,182.553,2174083.7145,258.684,5307.52,93,25.2563,8.556000000000001
17564.4,7105.49,0.40453,193.06,2404047.9165,281.774,6015.58,132,27.3527,15.014000000000001
12513.4,2584.76,0.20655,151.579,1702907.5468,202.44299999999998,5006.67,134,29.0089,0.7190000000000001
5885.39,1826.81,0.31039,70.3904,821577.6640000001,84.6113,3043.76,34,40.2294,1.6569999999999998
4281.11,1547.54,0.36148,35.5875,578900.8496,58.0423,1418.43,50,44.1257,11.099
19541.2,6865.01,0.3513,155.753,2782302.4883,316.469,13810.99,73,30.6076,4.251
8899.65,2731.34,0.3069,74.115,1257800.1714,112.73,3440.32,42,36.073,14.97
12582.3,2668.32,0.21206,162.942,1715203.9907,197.856,4918.06,141,27.4875,0.843
9618.66,2951.12,0.30680999999999997,94.9232,1345221.2133,136.887,4150.56,35,34.4823,1.598
14421.8,4044.67,0.28045,185.196,2048452.8088,234.74200000000002,4497.54,17,29.8791,2.937
6887.39,2250.87,0.32681,62.6964,974748.9002,104.501,3491.55,42,37.8358,13.91
7882.88,2987.26,0.37895,66.2182,1094122.4139,124.59700000000001,4416.91,79,34.8392,14.895
19002.7,6022.75,0.31694,260.347,2571237.3388,304.71,5777.4,327,21.3343,3.01
10793.1,3916.39,0.36286,115.595,1546502.5837,154.241,3853.78,76,34.7771,6.716
14764.0,4815.63,0.32616999999999996,156.993,2106231.2645,243.368,5338.56,163,46.5464,14.905
19155.9,4961.06,0.25898000000000004,226.046,2627052.3973,296.012,5743.3,197,23.1221,0.0
5583.33,1508.6,0.27019,52.4328,773990.2569,82.007,2904.4,38,40.1062,6.5
15912.6,6480.62,0.40726,183.892,2206586.8461,294.883,4616.99,75,28.4107,10.847999999999999
11943.2,5161.99,0.43221000000000004,99.0361,1573185.534,195.49099999999999,4192.56,86,34.1006,20.156
15245.1,5397.02,0.35401,181.458,2032305.6271,299.218,5248.89,199,25.2682,2.7560000000000002
5585.94,1091.67,0.19543,50.8402,804989.5452,69.6477,2883.98,58,40.2146,0.9570000000000001
11607.9,3950.06,0.34029,118.21,1653179.7387,197.21,4499.68,80,31.6864,2.667
4823.62,2088.63,0.433,38.1007,652312.4509,89.5135,1497.18,7,43.6418,11.785
5961.77,2576.4,0.43215,75.36399999999999,751651.3857,132.903,1872.63,95,42.4273,14.23
8649.25,3710.34,0.42896999999999996,77.8138,1222516.9038,137.792,3326.84,45,37.1908,5.431
8205.39,1974.69,0.24065,86.7771,1160829.4878,112.18799999999999,3870.47,7,33.5206,1.571
7728.1,2208.95,0.28583000000000003,95.5685,1077887.0464,107.677,3191.12,32,36.4987,10.372
16778.3,5527.78,0.32946,190.27200000000002,2293739.7949,234.44,5514.51,87,24.0064,5.8229999999999995
11546.3,4024.96,0.34859,76.2938,1587894.7861,168.16099999999997,4865.22,65,31.3571,16.159000000000002
5724.09,1533.92,0.26797,45.3943,830722.9928,64.2779,2522.18,22,41.607,2.707
7115.35,2137.83,0.30045,68.90899999999999,1003582.4387,96.7803,2882.88,32,39.5488,9.978
3778.35,1006.78,0.26646,37.5661,515928.9887,49.1282,1359.7,14,46.5464,9.526
5128.9,995.89,0.19417,40.6748,739808.9140000001,59.598,2194.2,79,39.8079,0.637
17527.1,6453.07,0.36817,190.458,2390052.2404,302.026,5632.8,188,26.182,5.992000000000001
8013.59,2149.94,0.26828,73.6682,1096204.3491,105.00200000000001,3465.44,29,37.2252,5.496
13670.4,3692.58,0.27011,164.628,1879413.7441,220.243,4883.99,115,28.68,4.875
8112.7,2292.14,0.28253,60.6328,1162975.8315,93.2717,3333.58,50,37.2291,17.611
8773.27,3817.58,0.43513,72.1951,1161675.0394,137.424,3560.73,55,36.5652,16.512999999999998
9586.3,2754.92,0.28738,95.5568,1333534.0945,124.87899999999999,3828.27,41,35.6732,2.877
11206.3,3880.2,0.34625,96.2721,1575861.1425,143.58100000000002,3850.06,71,37.0311,9.022
10566.1,2108.99,0.19959000000000002,146.673,1476404.6215,165.275,4621.2,144,29.9257,1.754
9282.96,2766.95,0.29806,101.75,1288727.5679,124.32,3863.41,20,33.7676,2.326
6619.06,2120.75,0.3204,64.2253,954048.318,85.7783,3683.91,75,38.6333,14.02
4012.8,1201.62,0.29944,33.3503,544098.8662,51.0566,1382.62,30,44.3766,11.38
6371.12,2483.38,0.38978,39.3657,842626.4019,106.37299999999999,3907.15,27,43.2061,14.100999999999999
10333.0,2476.11,0.23963,122.65799999999999,1404466.1984,154.015,3636.98,18,34.7645,2.227
7367.14,1856.37,0.25196999999999997,72.7263,1015658.6823,107.883,3314.22,54,37.6914,13.790999999999999
9306.45,2443.57,0.26256,88.3487,1318488.5459,122.238,4761.86,26,32.7965,1.8
12341.8,4494.82,0.36419,163.004,1694340.1392,211.972,5089.83,87,26.9045,5.124
14933.2,5821.87,0.38986,150.52200000000002,2076386.3552,234.438,6790.09,70,28.3615,3.713
8359.25,2475.75,0.29616,87.7028,1163832.7529,142.355,3275.28,21,36.4261,1.335
5100.49,1627.28,0.31904,56.2695,706682.4257,68.8805,2557.48,35,41.6125,3.765
7683.57,2078.11,0.27046,60.7751,1073887.564,109.695,3504.83,38,37.0747,12.537
14307.7,4159.96,0.29074,158.43200000000002,2004253.1895,238.729,3923.14,145,33.0314,19.397000000000002
11129.7,3670.81,0.32982,137.59799999999998,1562760.9304,185.173,4353.17,63,32.001,1.8719999999999999
9340.23,3369.13,0.36071,103.46799999999999,1292911.0425,125.68700000000001,3399.01,26,31.892,13.889000000000001
9905.91,3766.8,0.38025,93.6372,1425177.2045,152.429,3768.35,89,34.9778,15.360999999999999
5834.33,2056.09,0.35241,55.9595,804411.1773,81.4572,2616.05,53,40.8938,7.915
7907.57,2289.0,0.28946,65.6648,1103666.4946,108.241,3701.66,96,36.2089,2.313
7878.71,2149.57,0.27283,67.9637,1135182.9557,100.34100000000001,3008.81,49,39.2718,17.532
8398.47,2249.84,0.26788,90.9179,1184997.2157,123.07,3324.29,5,36.047,2.415
6512.22,2357.29,0.36196999999999996,69.4239,873476.2756,112.92200000000001,3251.01,45,38.5589,13.385
6009.93,2155.82,0.3587,39.5162,820294.5695,88.29899999999999,2160.38,7,43.3193,16.98
8921.01,2868.43,0.32153000000000004,88.8709,1225287.47,137.561,3346.17,21,34.3572,1.8219999999999998
8403.89,3012.64,0.35848,75.2685,1108267.6375,131.342,3408.9,77,37.8051,15.690999999999999
14439.9,6664.37,0.46152,161.672,1995348.076,252.705,5609.69,177,24.8632,20.674
8889.76,2103.87,0.23665999999999998,76.6573,1212760.8709,110.199,3641.74,23,37.0731,12.697000000000001
4019.98,1212.65,0.30165,35.7791,548715.6132,48.3527,1387.77,31,44.5155,11.17
7740.14,2522.05,0.32584,67.1989,1061175.745,116.315,3140.73,54,37.0118,16.617
14083.9,3835.78,0.27235,127.84100000000001,1963190.3963,188.488,4695.42,77,29.2313,3.668
6372.23,1672.9,0.26252,69.8747,895478.4009,74.1544,2853.28,77,39.4117,9.043
10410.2,2786.76,0.26769,115.985,1458932.2187,172.62400000000002,4111.53,10,33.6261,1.189
7545.08,2048.66,0.27152,57.9392,1074638.9771,74.2233,2992.46,51,40.5835,13.47
13311.4,3707.71,0.27853,167.00900000000001,1861042.6789,209.43,4762.18,138,27.4567,4.405
6520.89,1782.62,0.27337,74.3904,872366.1636,96.0999,3415.04,85,38.0748,1.6669999999999998
14699.9,4351.67,0.29603,172.382,2054591.7191,210.63099999999997,5514.03,199,25.0364,4.408
9633.45,2475.77,0.25699,119.74700000000001,1323532.1192,135.75799999999998,4124.03,128,23.8957,19.368
12367.5,3986.49,0.32233,155.364,1709492.0207,220.358,4687.11,123,28.6097,4.875
8087.16,2478.39,0.30645,67.3618,1100648.3041,103.315,3287.96,33,36.9674,17.887999999999998
12777.3,5833.67,0.45656,162.608,1750121.4257,238.74099999999999,5076.51,145,27.8165,18.730999999999998
9093.67,2660.46,0.29256,75.4685,1284952.1231,115.09700000000001,4081.86,23,34.2681,8.152999999999999
6214.61,1291.43,0.2078,58.2275,867857.3469,88.2825,2905.15,6,40.9186,8.695
